age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
1,261,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,149,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,226,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,151,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,307,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,198,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,139,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,217,1,999,0,1.1,93.994,-36.4,4.857,5191,0
0,380,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,50,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,55,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,222,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,137,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,293,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,146,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,174,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,312,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,440,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,353,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,195,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,38,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,262,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,342,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,181,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,172,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,99,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,93,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,233,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,255,2,999,0,1.1,93.994,-36.4,4.857,5191,0
1,362,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,348,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,386,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,73,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,230,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,208,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,336,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,365,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,1666,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,577,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,137,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,366,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,314,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,160,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,212,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,188,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,22,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,616,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,178,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,355,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,225,2,999,0,1.1,93.994,-36.4,4.857,5191,0
1,160,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,266,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,253,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,179,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,269,2,999,0,1.1,93.994,-36.4,4.857,5191,0
1,135,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,161,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,787,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,145,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,174,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,449,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,812,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,164,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,366,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,357,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,232,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,91,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,273,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,158,2,999,0,1.1,93.994,-36.4,4.857,5191,0
1,177,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,200,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,172,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,176,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,211,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,214,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,1575,1,999,0,1.1,93.994,-36.4,4.857,5191,1
1,349,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,337,2,999,0,1.1,93.994,-36.4,4.857,5191,0
1,272,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,208,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,193,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,212,1,999,0,1.1,93.994,-36.4,4.857,5191,0
1,165,2,999,0,1.1,93.994,-36.4,4.857,5191,0
